id,user,text,rating,created_at
45,user066,냄새가 너무 심해서 못 쓰겠어요 🙏 https://example.com/event,2,2026-04-26
46,user026,[광고] 지금 구매하면 사은품 증정! 사진과 색이 완전히 달라서 실망했어요 👍 http://bit.ly/abc123,2,2026/02/01 01:15
47,user074,[광고] 지금 구매하면 사은품 증정! 가격대비 그럭저럭이에요 🙏 https://example.com/event,3,23.02.2026
48,user029,가성비 최고입니다 또 살게요,4,2026-02-26T22:33:00
49,user086,[광고] 지금 구매하면 사은품 증정! 재구매 의사 100% 강추합니다 🙏,4,
50,user021,아직 잘 모르겠어요 더 써봐야 할 듯 😡,3,2026-06-28
51,user010,가성비 최고입니다 또 살게요 🙏,5,2026/06/10 07:17
52,user020,협찬 받아 작성한 후기입니다. 재구매 의사 100% 강추합니다 😍,4,07.06.2026
53,user050,재구매 의사 100% 강추합니다,5,2026-05-23T00:54:00
54,user039,가격대비 그럭저럭이에요 🙏,3,
55,user004,냄새가 너무 심해서 못 쓰겠어요 👍 http://bit.ly/abc123,1,2026-04-11
56,user117,고객센터 연결도 안 되고 최악이에요 😍,1,2026/04/19 18:42
57,user049,협찬 받아 작성한 후기입니다. 사이즈도 딱 맞고 마감이 깔끔해요 🙏,5,07.03.2026
58,user096,색감이 사진이랑 똑같아서 만족합니다 ㅠㅠ,5,2026-05-02T11:14:00
59,user080,[광고] 지금 구매하면 사은품 증정! 고객센터 연결도 안 되고 최악이에요 👍,1,
60,user078,냄새가 너무 심해서 못 쓰겠어요 ㅠㅠ http://bit.ly/abc123,1,2026-06-23
61,user117,사진과 색이 완전히 달라서 실망했어요 http://bit.ly/abc123,1,2026/04/13 22:12
62,user102,[광고] 지금 구매하면 사은품 증정! 사이즈도 딱 맞고 마감이 깔끔해요 ㅠㅠ,4,26.05.2026
63,user106,[광고] 지금 구매하면 사은품 증정! 고객센터 연결도 안 되고 최악이에요 🔥,2,2026-04-04T13:23:00
64,user035,한 번 쓰고 고장났습니다 환불 원해요 😍,1,
65,user058,구매처: http://shop.example.com 방문하세요 색감이 사진이랑 똑같아서 만족합니다 👍,5,2026-02-25
66,user028,[광고] 지금 구매하면 사은품 증정! 한 번 쓰고 고장났습니다 환불 원해요 🙏 http://bit.ly/abc123,2,2026/03/26 08:21
67,user011,재구매 의사 100% 강추합니다,5,24.02.2026
68,user012,배송이 일주일이나 걸렸습니다 별로 🙏 https://example.com/event,2,2026-03-08T12:44:00
69,user071,사이즈도 딱 맞고 마감이 깔끔해요 🔥 https://example.com/event,5,
70,user069,[광고] 지금 구매하면 사은품 증정! 포장도 꼼꼼하고 품질이 기대 이상이에요 👍 http://bit.ly/abc123,4,2026-06-06
71,user023,[광고] 지금 구매하면 사은품 증정! 사진과 색이 완전히 달라서 실망했어요 👍 http://bit.ly/abc123,2,2026/03/01 22:34
72,user097,배송이 정말 빨라서 깜짝 놀랐어요 ㅠㅠ,4,04.04.2026
73,user111,구매처: http://shop.example.com 방문하세요 색감이 사진이랑 똑같아서 만족합니다 😍,5,2026-04-04T02:25:00
74,user011,협찬 받아 작성한 후기입니다. 재구매 의사 100% 강추합니다 😍,4,
75,user039,재구매 의사 100% 강추합니다 😡 https://example.com/event,4,2026-05-14
76,user021,협찬 받아 작성한 후기입니다. 냄새가 너무 심해서 못 쓰겠어요 👍 http://bit.ly/abc123,1,2026/02/06 17:04
77,user037,색감이 사진이랑 똑같아서 만족합니다 🙏 http://bit.ly/abc123,,10.06.2026
78,user029,구매처: http://shop.example.com 방문하세요 사이즈도 딱 맞고 마감이 깔끔해요 👍 https://example.com/event,4,2026-06-05T08:52:00
79,user089,구매처: http://shop.example.com 방문하세요 배송이 정말 빨라서 깜짝 놀랐어요 ㅠㅠ https://example.com/event,4,
80,user078,[광고] 지금 구매하면 사은품 증정! 한 번 쓰고 고장났습니다 환불 원해요 https://example.com/event,2,2026-03-01
81,user098,가격대비 그럭저럭이에요 http://bit.ly/abc123,3,2026/02/16 16:41
82,user061,포장도 꼼꼼하고 품질이 기대 이상이에요 😡 https://example.com/event,4,14.03.2026
83,user052,배송이 일주일이나 걸렸습니다 별로 🙏 http://bit.ly/abc123,2,2026-05-02T14:05:00
84,user007,포장도 꼼꼼하고 품질이 기대 이상이에요,4,
85,user119,[광고] 지금 구매하면 사은품 증정! 고객센터 연결도 안 되고 최악이에요 👍 http://bit.ly/abc123,2,2026-03-15
86,user071,사이즈도 딱 맞고 마감이 깔끔해요 😍 http://bit.ly/abc123,4,2026/04/03 07:53
87,user038,[광고] 지금 구매하면 사은품 증정! 아직 잘 모르겠어요 더 써봐야 할 듯 😍 https://example.com/event,3,23.05.2026
88,user077,한 번 쓰고 고장났습니다 환불 원해요 😍 https://example.com/event,1,2026-05-24T04:55:00
89,user039,색감이 사진이랑 똑같아서 만족합니다 ㅠㅠ,5,
90,user098,아직 잘 모르겠어요 더 써봐야 할 듯 🙏 http://bit.ly/abc123,3,2026-05-13
91,user053,가성비 최고입니다 또 살게요 😡,4,2026/01/11 23:30
92,user017,한 번 쓰고 고장났습니다 환불 원해요 😍 https://example.com/event,2,19.05.2026
93,user053,색감이 사진이랑 똑같아서 만족합니다 🙏,4,2026-06-05T02:30:00
94,user110,사진과 색이 완전히 달라서 실망했어요 😡,2,
95,user009,가격대비 그럭저럭이에요 🙏,,2026-02-21
96,user089,가성비 최고입니다 또 살게요,4,2026/03/01 01:20
97,user053,구매처: http://shop.example.com 방문하세요 사진과 색이 완전히 달라서 실망했어요 😡,2,22.05.2026
98,user019,재구매 의사 100% 강추합니다 👍 https://example.com/event,5,2026-02-15T20:16:00
99,user057,사이즈도 딱 맞고 마감이 깔끔해요 ㅠㅠ,4,
100,user050,구매처: http://shop.example.com 방문하세요 가격대비 그럭저럭이에요 🙏 http://bit.ly/abc123,3,2026-04-04
101,user085,냄새가 너무 심해서 못 쓰겠어요 ㅠㅠ,2,2026/04/09 00:36
102,user030,[광고] 지금 구매하면 사은품 증정! 가격대비 그럭저럭이에요 🙏 http://bit.ly/abc123,3,26.05.2026
103,user083,냄새가 너무 심해서 못 쓰겠어요 😍,2,2026-01-10T14:02:00
104,user023,[광고] 지금 구매하면 사은품 증정! 고객센터 연결도 안 되고 최악이에요 ㅠㅠ http://bit.ly/abc123,1,
105,user106,가격대비 그럭저럭이에요 ㅠㅠ,3,2026-04-26
106,user029,무난합니다 그냥 평타,3,2026/06/24 21:25
107,user069,구매처: http://shop.example.com 방문하세요 가격대비 그럭저럭이에요 https://example.com/event,,15.01.2026
108,user061,사진과 색이 완전히 달라서 실망했어요 🔥,2,2026-01-20T17:20:00
109,user039,무난합니다 그냥 평타 https://example.com/event,3,
110,user069,배송이 정말 빨라서 깜짝 놀랐어요,5,2026-02-13
111,user107,고객센터 연결도 안 되고 최악이에요 😍 https://example.com/event,2,2026/04/20 13:17
112,user013,포장도 꼼꼼하고 품질이 기대 이상이에요 🙏,4,12.06.2026
113,user016,[광고] 지금 구매하면 사은품 증정! 아직 잘 모르겠어요 더 써봐야 할 듯 😡 http://bit.ly/abc123,3,2026-04-03T21:13:00
114,user101,[광고] 지금 구매하면 사은품 증정! 냄새가 너무 심해서 못 쓰겠어요 🔥,1,
115,user077,협찬 받아 작성한 후기입니다. 배송이 일주일이나 걸렸습니다 별로 🔥,1,2026-01-09
116,user102,배송이 일주일이나 걸렸습니다 별로,,2026/02/19 10:01
117,user009,배송이 정말 빨라서 깜짝 놀랐어요 😡,4,15.04.2026
118,user083,한 번 쓰고 고장났습니다 환불 원해요,1,2026-01-02T15:54:00
119,user042,사이즈도 딱 맞고 마감이 깔끔해요 🙏,4,
120,user056,사이즈도 딱 맞고 마감이 깔끔해요 ㅠㅠ https://example.com/event,5,2026-01-26
121,user030,가격대비 그럭저럭이에요 👍 https://example.com/event,3,2026/04/11 14:25
122,user020,배송이 정말 빨라서 깜짝 놀랐어요 🔥 http://bit.ly/abc123,5,16.06.2026
123,user076,[광고] 지금 구매하면 사은품 증정! 생각보다 너무 작고 부실해요 🔥,2,2026-05-18T10:42:00
124,user046,포장도 꼼꼼하고 품질이 기대 이상이에요 http://bit.ly/abc123,5,
125,user098,[광고] 지금 구매하면 사은품 증정! 색감이 사진이랑 똑같아서 만족합니다 🔥,4,2026-03-19
126,user090,재구매 의사 100% 강추합니다 ㅠㅠ,4,2026/03/11 11:00
127,user068,[광고] 지금 구매하면 사은품 증정! 가성비 최고입니다 또 살게요 😍,5,13.02.2026
128,user114,포장도 꼼꼼하고 품질이 기대 이상이에요 🔥,5,2026-01-05T05:48:00
129,user057,구매처: http://shop.example.com 방문하세요 고객센터 연결도 안 되고 최악이에요 🙏 https://example.com/event,1,
130,user086,[광고] 지금 구매하면 사은품 증정! 사진과 색이 완전히 달라서 실망했어요 ㅠㅠ,2,2026-03-02
131,user099,[광고] 지금 구매하면 사은품 증정! 무난합니다 그냥 평타 👍 http://bit.ly/abc123,3,2026/02/25 08:18
132,user069,배송이 정말 빨라서 깜짝 놀랐어요 😡,5,08.06.2026
133,user118,사진과 색이 완전히 달라서 실망했어요 https://example.com/event,,2026-01-28T10:36:00
134,user042,구매처: http://shop.example.com 방문하세요 색감이 사진이랑 똑같아서 만족합니다 https://example.com/event,,
135,user052,사진과 색이 완전히 달라서 실망했어요,1,2026-05-03
136,user015,구매처: http://shop.example.com 방문하세요 포장도 꼼꼼하고 품질이 기대 이상이에요 😍,4,2026/05/17 06:57
137,user023,협찬 받아 작성한 후기입니다. 사진과 색이 완전히 달라서 실망했어요,1,05.05.2026
138,user080,사이즈도 딱 맞고 마감이 깔끔해요 🙏,5,2026-03-28T20:20:00
139,user046,배송이 정말 빨라서 깜짝 놀랐어요 ㅠㅠ http://bit.ly/abc123,5,
140,user065,구매처: http://shop.example.com 방문하세요 배송이 정말 빨라서 깜짝 놀랐어요,5,2026-04-15
141,user042,[광고] 지금 구매하면 사은품 증정! 가격대비 그럭저럭이에요 🙏,3,2026/05/16 16:09
142,user023,[광고] 지금 구매하면 사은품 증정! 아직 잘 모르겠어요 더 써봐야 할 듯 🔥,3,08.01.2026
143,user037,가격대비 그럭저럭이에요 😍 http://bit.ly/abc123,3,2026-04-14T10:43:00
144,user050,[광고] 지금 구매하면 사은품 증정! 고객센터 연결도 안 되고 최악이에요 🔥,2,
145,user118,구매처: http://shop.example.com 방문하세요 냄새가 너무 심해서 못 쓰겠어요,1,2026-03-10
146,user086,구매처: http://shop.example.com 방문하세요 배송이 일주일이나 걸렸습니다 별로 😡 http://bit.ly/abc123,1,2026/06/27 23:43
147,user047,무난합니다 그냥 평타 😡,3,06.03.2026
148,user038,협찬 받아 작성한 후기입니다. 아직 잘 모르겠어요 더 써봐야 할 듯 👍,3,2026-01-17T17:53:00
149,user049,냄새가 너무 심해서 못 쓰겠어요 🔥,1,
150,user087,냄새가 너무 심해서 못 쓰겠어요 🙏,1,2026-06-08
151,user101,협찬 받아 작성한 후기입니다. 사이즈도 딱 맞고 마감이 깔끔해요 👍 http://bit.ly/abc123,5,2026/04/27 06:23
152,user054,냄새가 너무 심해서 못 쓰겠어요 ㅠㅠ https://example.com/event,2,27.02.2026
153,user014,사진과 색이 완전히 달라서 실망했어요 🙏 http://bit.ly/abc123,1,2026-06-28T16:54:00
154,user056,구매처: http://shop.example.com 방문하세요 배송이 정말 빨라서 깜짝 놀랐어요 🙏,4,
155,user050,[광고] 지금 구매하면 사은품 증정! 배송이 정말 빨라서 깜짝 놀랐어요 😡,5,2026-01-12
156,user107,협찬 받아 작성한 후기입니다. 배송이 정말 빨라서 깜짝 놀랐어요 😍,5,2026/04/23 04:48
157,user020,[광고] 지금 구매하면 사은품 증정! 한 번 쓰고 고장났습니다 환불 원해요 http://bit.ly/abc123,1,24.05.2026
158,user082,구매처: http://shop.example.com 방문하세요 포장도 꼼꼼하고 품질이 기대 이상이에요,4,2026-05-15T02:07:00
159,user001,한 번 쓰고 고장났습니다 환불 원해요 👍,1,
160,user070,사이즈도 딱 맞고 마감이 깔끔해요 🔥,4,2026-05-26
161,user003,색감이 사진이랑 똑같아서 만족합니다 😡 http://bit.ly/abc123,4,2026/03/26 02:22
162,user070,사이즈도 딱 맞고 마감이 깔끔해요 🔥,,27.03.2026
163,user009,고객센터 연결도 안 되고 최악이에요 🙏,2,2026-06-25T14:02:00
164,user105,[광고] 지금 구매하면 사은품 증정! 배송이 정말 빨라서 깜짝 놀랐어요 🔥 http://bit.ly/abc123,4,
165,user103,구매처: http://shop.example.com 방문하세요 배송이 일주일이나 걸렸습니다 별로 http://bit.ly/abc123,2,2026-03-14
166,user103,협찬 받아 작성한 후기입니다. 색감이 사진이랑 똑같아서 만족합니다 🙏 https://example.com/event,5,2026/05/09 02:46
167,user042,색감이 사진이랑 똑같아서 만족합니다 ㅠㅠ http://bit.ly/abc123,4,10.06.2026
168,user094,한 번 쓰고 고장났습니다 환불 원해요 🙏 http://bit.ly/abc123,1,2026-03-20T13:17:00
169,user096,생각보다 너무 작고 부실해요 😡 http://bit.ly/abc123,1,
170,user083,[광고] 지금 구매하면 사은품 증정! 고객센터 연결도 안 되고 최악이에요 😍,2,2026-03-12
171,user074,구매처: http://shop.example.com 방문하세요 가성비 최고입니다 또 살게요 🔥 https://example.com/event,5,2026/02/17 11:25
172,user050,[광고] 지금 구매하면 사은품 증정! 포장도 꼼꼼하고 품질이 기대 이상이에요,4,04.05.2026
173,user018,색감이 사진이랑 똑같아서 만족합니다 ㅠㅠ https://example.com/event,4,2026-01-15T05:57:00
174,user038,생각보다 너무 작고 부실해요 🔥,2,
175,user102,구매처: http://shop.example.com 방문하세요 고객센터 연결도 안 되고 최악이에요 👍,1,2026-02-08
176,user009,재구매 의사 100% 강추합니다 😍,5,2026/03/13 22:46
177,user083,색감이 사진이랑 똑같아서 만족합니다,5,15.01.2026
178,user008,협찬 받아 작성한 후기입니다. 배송이 일주일이나 걸렸습니다 별로 😡,1,2026-01-17T04:19:00
179,user082,구매처: http://shop.example.com 방문하세요 포장도 꼼꼼하고 품질이 기대 이상이에요 ㅠㅠ,4,
180,user020,재구매 의사 100% 강추합니다 😍,4,2026-02-22
181,user083,아직 잘 모르겠어요 더 써봐야 할 듯,3,2026/05/09 20:13
182,user104,한 번 쓰고 고장났습니다 환불 원해요 ㅠㅠ http://bit.ly/abc123,1,13.06.2026
183,user044,배송이 정말 빨라서 깜짝 놀랐어요 😡 https://example.com/event,4,2026-05-05T10:55:00
184,user014,고객센터 연결도 안 되고 최악이에요 😍 http://bit.ly/abc123,2,
185,user111,[광고] 지금 구매하면 사은품 증정! 가성비 최고입니다 또 살게요 http://bit.ly/abc123,4,2026-05-14
186,user064,아직 잘 모르겠어요 더 써봐야 할 듯 🔥,3,2026/05/15 15:56
187,user046,배송이 정말 빨라서 깜짝 놀랐어요 🙏,4,02.01.2026
188,user113,구매처: http://shop.example.com 방문하세요 고객센터 연결도 안 되고 최악이에요,2,2026-03-24T11:48:00
189,user010,[광고] 지금 구매하면 사은품 증정! 배송이 정말 빨라서 깜짝 놀랐어요 👍 http://bit.ly/abc123,5,
190,user044,협찬 받아 작성한 후기입니다. 냄새가 너무 심해서 못 쓰겠어요 https://example.com/event,1,2026-05-12
191,user103,[광고] 지금 구매하면 사은품 증정! 한 번 쓰고 고장났습니다 환불 원해요,1,2026/04/17 14:09
192,user079,구매처: http://shop.example.com 방문하세요 냄새가 너무 심해서 못 쓰겠어요 🔥,1,27.06.2026
193,user048,재구매 의사 100% 강추합니다 ㅠㅠ https://example.com/event,5,2026-03-22T03:26:00
194,user101,고객센터 연결도 안 되고 최악이에요 🙏 http://bit.ly/abc123,1,
195,user032,색감이 사진이랑 똑같아서 만족합니다 😡,4,2026-01-19
196,user053,색감이 사진이랑 똑같아서 만족합니다 😍 https://example.com/event,5,2026/05/25 19:58
197,user042,사이즈도 딱 맞고 마감이 깔끔해요 😍,4,16.06.2026
198,user099,가성비 최고입니다 또 살게요 🔥,5,2026-06-22T20:51:00
199,user029,협찬 받아 작성한 후기입니다. 냄새가 너무 심해서 못 쓰겠어요 👍 http://bit.ly/abc123,2,
200,user120,구매처: http://shop.example.com 방문하세요 사이즈도 딱 맞고 마감이 깔끔해요 🙏 http://bit.ly/abc123,5,2026-06-09
201,user037,냄새가 너무 심해서 못 쓰겠어요 🔥,2,2026/06/03 11:59
202,user072,협찬 받아 작성한 후기입니다. 포장도 꼼꼼하고 품질이 기대 이상이에요 👍,5,09.06.2026
203,user030,협찬 받아 작성한 후기입니다. 냄새가 너무 심해서 못 쓰겠어요,1,2026-01-04T13:21:00
204,user113,[광고] 지금 구매하면 사은품 증정! 생각보다 너무 작고 부실해요 😍 https://example.com/event,1,
205,user030,구매처: http://shop.example.com 방문하세요 사진과 색이 완전히 달라서 실망했어요,2,2026-05-24
206,user051,무난합니다 그냥 평타 😍,3,2026/04/06 23:55
207,user119,[광고] 지금 구매하면 사은품 증정! 무난합니다 그냥 평타 ㅠㅠ,3,10.03.2026
208,user015,한 번 쓰고 고장났습니다 환불 원해요 🙏 http://bit.ly/abc123,1,2026-03-06T23:29:00
209,user097,[광고] 지금 구매하면 사은품 증정! 고객센터 연결도 안 되고 최악이에요 🔥 http://bit.ly/abc123,1,
210,user013,한 번 쓰고 고장났습니다 환불 원해요 🔥,2,2026-02-05
211,user035,구매처: http://shop.example.com 방문하세요 무난합니다 그냥 평타 😡,3,2026/03/10 18:46
212,user060,사진과 색이 완전히 달라서 실망했어요 👍,2,06.03.2026
213,user029,고객센터 연결도 안 되고 최악이에요 http://bit.ly/abc123,2,2026-02-05T15:09:00
214,user106,재구매 의사 100% 강추합니다 🙏,5,
215,user015,생각보다 너무 작고 부실해요 🔥,2,2026-01-27
216,user088,협찬 받아 작성한 후기입니다. 냄새가 너무 심해서 못 쓰겠어요 🔥,1,2026/02/23 18:31
217,user059,[광고] 지금 구매하면 사은품 증정! 재구매 의사 100% 강추합니다 🙏,5,02.05.2026
218,user075,사진과 색이 완전히 달라서 실망했어요 ㅠㅠ,1,2026-01-02T13:22:00
219,user024,[광고] 지금 구매하면 사은품 증정! 냄새가 너무 심해서 못 쓰겠어요 🙏,1,
220,user088,한 번 쓰고 고장났습니다 환불 원해요 🙏 https://example.com/event,2,2026-06-28
221,user029,협찬 받아 작성한 후기입니다. 사진과 색이 완전히 달라서 실망했어요 😡,1,2026/01/25 00:19
222,user045,사이즈도 딱 맞고 마감이 깔끔해요 😡,5,09.02.2026
223,user114,[광고] 지금 구매하면 사은품 증정! 무난합니다 그냥 평타 😡,3,2026-01-08T06:04:00
224,user052,배송이 정말 빨라서 깜짝 놀랐어요,5,
225,user094,생각보다 너무 작고 부실해요 ㅠㅠ,1,2026-05-11
226,user039,구매처: http://shop.example.com 방문하세요 사진과 색이 완전히 달라서 실망했어요 😍,1,2026/03/02 17:37
227,user045,무난합니다 그냥 평타 😡,3,22.06.2026
228,user097,고객센터 연결도 안 되고 최악이에요 😍 http://bit.ly/abc123,2,2026-05-16T07:54:00
229,user054,사이즈도 딱 맞고 마감이 깔끔해요,4,
230,user012,가성비 최고입니다 또 살게요 https://example.com/event,5,2026-05-24
231,user072,[광고] 지금 구매하면 사은품 증정! 사이즈도 딱 맞고 마감이 깔끔해요 👍,4,2026/02/16 06:55
232,user016,[광고] 지금 구매하면 사은품 증정! 아직 잘 모르겠어요 더 써봐야 할 듯 👍,3,25.06.2026
233,user037,재구매 의사 100% 강추합니다 👍,4,2026-04-15T17:41:00
234,user093,포장도 꼼꼼하고 품질이 기대 이상이에요 🙏 https://example.com/event,5,
235,user071,[광고] 지금 구매하면 사은품 증정! 포장도 꼼꼼하고 품질이 기대 이상이에요 👍,,2026-05-19
236,user064,협찬 받아 작성한 후기입니다. 가성비 최고입니다 또 살게요 😡,5,2026/05/21 21:21
237,user093,색감이 사진이랑 똑같아서 만족합니다 😍 http://bit.ly/abc123,5,16.05.2026
238,user086,[광고] 지금 구매하면 사은품 증정! 가격대비 그럭저럭이에요,3,2026-01-25T00:26:00
239,user059,[광고] 지금 구매하면 사은품 증정! 사이즈도 딱 맞고 마감이 깔끔해요 😍,4,
240,user071,냄새가 너무 심해서 못 쓰겠어요 🙏,,2026-04-01
241,user013,[광고] 지금 구매하면 사은품 증정! 냄새가 너무 심해서 못 쓰겠어요 😡,2,2026/05/05 07:12
242,user052,구매처: http://shop.example.com 방문하세요 사진과 색이 완전히 달라서 실망했어요 😡,2,19.04.2026
243,user049,사이즈도 딱 맞고 마감이 깔끔해요,4,2026-05-16T01:40:00
244,user110,가성비 최고입니다 또 살게요 😡 http://bit.ly/abc123,4,
245,user036,구매처: http://shop.example.com 방문하세요 사이즈도 딱 맞고 마감이 깔끔해요,5,2026-05-19
246,user039,협찬 받아 작성한 후기입니다. 포장도 꼼꼼하고 품질이 기대 이상이에요 😍 https://example.com/event,4,2026/02/19 07:36
247,user045,한 번 쓰고 고장났습니다 환불 원해요 😍,2,04.01.2026
248,user058,구매처: http://shop.example.com 방문하세요 사진과 색이 완전히 달라서 실망했어요 http://bit.ly/abc123,2,2026-04-08T11:35:00
249,user038,협찬 받아 작성한 후기입니다. 아직 잘 모르겠어요 더 써봐야 할 듯 😡,3,
250,user012,색감이 사진이랑 똑같아서 만족합니다 😡 http://bit.ly/abc123,4,2026-01-10
251,user072,[광고] 지금 구매하면 사은품 증정! 생각보다 너무 작고 부실해요 😍 https://example.com/event,1,2026/05/14 03:01
252,user053,재구매 의사 100% 강추합니다 🔥 https://example.com/event,,25.04.2026
253,user035,무난합니다 그냥 평타 😍 https://example.com/event,3,2026-03-09T15:09:00
254,user047,색감이 사진이랑 똑같아서 만족합니다 ㅠㅠ https://example.com/event,5,
255,user051,재구매 의사 100% 강추합니다,4,2026-03-27
256,user042,구매처: http://shop.example.com 방문하세요 사진과 색이 완전히 달라서 실망했어요 😡,2,2026/05/23 06:30
257,user042,구매처: http://shop.example.com 방문하세요 색감이 사진이랑 똑같아서 만족합니다 🙏,5,09.04.2026
258,user094,재구매 의사 100% 강추합니다 😍,,2026-04-23T06:28:00
259,user031,고객센터 연결도 안 되고 최악이에요 🙏,1,
260,user065,색감이 사진이랑 똑같아서 만족합니다 🙏,4,2026-06-14
261,user079,[광고] 지금 구매하면 사은품 증정! 사진과 색이 완전히 달라서 실망했어요 👍 http://bit.ly/abc123,1,2026/01/19 20:43
262,user066,[광고] 지금 구매하면 사은품 증정! 사진과 색이 완전히 달라서 실망했어요,2,17.06.2026
263,user076,구매처: http://shop.example.com 방문하세요 배송이 일주일이나 걸렸습니다 별로 😡 https://example.com/event,2,2026-06-17T04:22:00
264,user011,[광고] 지금 구매하면 사은품 증정! 아직 잘 모르겠어요 더 써봐야 할 듯 ㅠㅠ https://example.com/event,3,
265,user057,협찬 받아 작성한 후기입니다. 포장도 꼼꼼하고 품질이 기대 이상이에요 🙏 http://bit.ly/abc123,5,2026-06-23
266,user022,[광고] 지금 구매하면 사은품 증정! 배송이 정말 빨라서 깜짝 놀랐어요 🔥,4,2026/06/08 16:11
267,user024,사진과 색이 완전히 달라서 실망했어요 👍 https://example.com/event,2,22.06.2026
268,user028,재구매 의사 100% 강추합니다 😡 https://example.com/event,,2026-02-09T22:51:00
269,user059,냄새가 너무 심해서 못 쓰겠어요 😍 http://bit.ly/abc123,1,
270,user015,사이즈도 딱 맞고 마감이 깔끔해요 😡,5,2026-03-12
